task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
5	71/386a70	13425303	fastqToSsake (4)	COMPLETED	0	2016-11-26 02:24:13.956	3m 2s	17s	99.7%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	61.9 MB	17.4 MB	8995	35832	181743	17011	1779744768	35048312832	1781370880	35114369024	64913515	18216680
7	af/52de0e	13425305	fastqToSsake (6)	COMPLETED	0	2016-11-26 02:24:14.023	3m 2s	15.5s	98.2%	1.3 GB	32.6 GB	1.3 GB	32.7 GB	53.2 MB	10.1 MB	7875	20814	181722	15497	1373159424	35048312832	1375256576	35114369024	55732342	10573072
4	dd/47f662	13425307	fastqToSsake (3)	COMPLETED	0	2016-11-26 02:24:14.086	3m 2s	15.4s	91.4%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	57.8 MB	9.4 MB	8475	19474	181673	15360	1748295680	35048312832	1750773760	35048955904	60655272	9896092
9	c1/6f8907	13425309	interleave (1)	COMPLETED	0	2016-11-26 02:24:14.147	3m 2s	22.2s	100.0%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	54.6 MB	51.2 MB	8147	105964	181627	22183	1395077120	35184635904	1395077120	35251769344	57270410	53722616
10	98/878ac8	13425311	interleave (2)	COMPLETED	0	2016-11-26 02:24:14.205	3m 2s	25s	98.5%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	59.3 MB	51.4 MB	8742	106326	181692	24966	1459892224	35184635904	1459892224	35251769344	62144499	53914098
2	ab/b4b8f8	13425312	fastqToSsake (7)	COMPLETED	0	2016-11-26 02:24:14.285	3m 2s	14s	89.7%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.2 MB	11.3 MB	8004	23230	181671	13961	1691652096	35048312832	1691652096	35114369024	56799086	11807740
11	6c/d83689	13425313	interleave (3)	COMPLETED	0	2016-11-26 02:24:14.358	3m 2s	27s	97.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.5 MB	54.1 MB	8519	111885	181746	27011	1422323712	35184635904	1422323712	35251769344	60313540	56752042
12	33/b4a4c9	13425314	interleave (4)	COMPLETED	0	2016-11-26 02:24:14.422	3m 2s	23.5s	99.3%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	56 MB	49.7 MB	8320	102711	181766	23526	1436024832	35184635904	1436024832	35251769344	58689329	52071490
1	c5/ddb8ec	13425315	fastqToSsake (1)	COMPLETED	0	2016-11-26 02:24:14.490	3m 2s	14.4s	97.5%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.9 MB	11.1 MB	8099	22958	181782	14415	1694437376	35048312832	1694437376	35114369024	57573892	11663034
8	0b/9c5777	13425316	fastqToSsake (8)	COMPLETED	0	2016-11-26 02:24:14.560	3m 2s	17.8s	93.7%	1.7 GB	32.6 GB	1.7 GB	32.6 GB	68.3 MB	18.9 MB	9817	39040	181810	17848	1809387520	35048312832	1811865600	35048955904	71652427	19827438
3	30/8e3734	13425317	fastqToSsake (2)	COMPLETED	0	2016-11-26 02:24:14.632	3m 32s	18.1s	98.8%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	17.6 MB	9354	36354	212072	18114	1779671040	35048312832	1782243328	35114369024	67856095	18486214
6	14/cf773e	13425318	fastqToSsake (5)	COMPLETED	0	2016-11-26 02:24:14.706	3m 32s	14.8s	97.3%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	58.8 MB	10.1 MB	8603	20869	212015	14828	1757556736	35048312832	1758420992	35049467904	61705403	10602122
13	b0/e1e89c	13425319	interleave (5)	COMPLETED	0	2016-11-26 02:24:14.789	3m 32s	23.5s	97.6%	1.2 GB	32.8 GB	1.2 GB	32.8 GB	51 MB	45.4 MB	7680	93909	211945	23512	1238749184	35184635904	1240846336	35251769344	53443589	47616390
14	53/7fe563	13425321	interleave (6)	COMPLETED	0	2016-11-26 02:24:14.856	3m 32s	21.4s	101.0%	1 GB	32.8 GB	1 GB	32.8 GB	47.5 MB	37 MB	7237	76533	211891	21449	1092018176	35184635904	1094115328	35185000448	49815722	38798036
15	d6/0897b9	13425322	interleave (7)	COMPLETED	0	2016-11-26 02:24:14.925	3m 32s	24.2s	99.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	58.5 MB	51.4 MB	8642	106354	211984	24205	1446977536	35184635904	1446977536	35185000448	61326900	53926066
16	a6/a8a3c2	13425323	interleave (8)	COMPLETED	0	2016-11-26 02:24:15.014	3m 32s	27.3s	95.6%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	67.7 MB	63.9 MB	9825	132227	212035	27318	1483194368	35184635904	1483194368	35251769344	71018569	67052734
17	7a/2d91ee	13426164	reformat (1)	COMPLETED	0	2016-11-26 02:27:15.821	31.3s	11.2s	86.9%	3.1 MB	28 MB	3.1 MB	28 MB	138.2 MB	134.8 MB	20451	17137	31313	11183	3252224	29310976	3252224	29360128	144866757	141344768
18	1f/bd8d9a	13426166	reformat (2)	COMPLETED	0	2016-11-26 02:27:15.885	31.4s	12.2s	101.6%	3.1 MB	28 MB	3.1 MB	28 MB	198.4 MB	194.2 MB	29258	24607	31355	12235	3248128	29310976	3248128	29360128	207986117	203636736
19	7d/f028ea	13426168	reformat (3)	COMPLETED	0	2016-11-26 02:27:15.942	31.4s	10.2s	87.8%	3.1 MB	28 MB	3.1 MB	28 MB	143.2 MB	139.7 MB	21238	17788	31376	10211	3244032	29310976	3244032	29360128	150162885	146472960
20	76/5f99d8	13426170	alignReads (1)	COMPLETED	0	2016-11-26 02:27:16.010	31.4s	32ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	31388	32	1294336	11624448	0	0	0	0
21	ee/57e6cb	13426172	alignReads (2)	COMPLETED	0	2016-11-26 02:27:16.079	31.4s	34ms	0.0%	1.2 MB	11.1 MB	0	0	27.1 KB	242 B	61	4	31403	34	1294336	11624448	0	0	27725	242
23	11/c3caa0	13426174	alignReads (3)	COMPLETED	0	2016-11-26 02:27:16.254	31.3s	29ms	0.0%	1.3 MB	11.1 MB	0	0	0	0	0	0	31260	29	1318912	11624448	0	0	0	0
24	65/98aa13	13426175	alignReads (4)	COMPLETED	0	2016-11-26 02:27:16.341	31.2s	34ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	31199	34	1294336	11624448	0	0	0	0
25	75/adfcdb	13426176	reformat (5)	COMPLETED	0	2016-11-26 02:27:16.440	31.1s	10.4s	89.6%	3.1 MB	28 MB	3.1 MB	28 MB	132.6 MB	129.4 MB	19546	16408	31125	10415	3252224	29310976	3252224	29360128	139017669	135708672
22	37/8ff157	13426173	reformat (4)	COMPLETED	0	2016-11-26 02:27:16.170	1m 2s	12.1s	97.0%	3.1 MB	28 MB	3.1 MB	28 MB	212.1 MB	207.9 MB	31335	26351	61542	12115	3256320	29310976	3256320	29360128	222399941	217989120
26	cc/22dbdc	13426177	reformat (6)	COMPLETED	0	2016-11-26 02:27:16.507	1m 1s	13.1s	101.0%	3.1 MB	28 MB	3.1 MB	28 MB	248.1 MB	243.1 MB	36573	30780	61223	13091	3248128	29310976	3248128	29360128	260189637	254935040
27	70/d331c5	13426292	reformat (7)	COMPLETED	0	2016-11-26 02:27:46.818	31s	15.7s	94.9%	3.1 MB	28 MB	3.1 MB	28 MB	188.3 MB	184.6 MB	27746	23348	31002	15718	3252224	29310976	3252224	29360128	197492165	193576960
28	53/5d95c8	13426293	reformat (8)	COMPLETED	0	2016-11-26 02:27:46.885	31s	10.4s	87.2%	3.1 MB	28 MB	3.1 MB	28 MB	142.2 MB	138.7 MB	21102	17670	31021	10368	3252224	29310976	3252224	29360128	149142981	145473536
29	48/7cea42	13426294	alignReads (5)	COMPLETED	0	2016-11-26 02:27:46.956	31s	33ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	31029	33	1290240	11624448	0	0	0	0
30	c8/88aadf	13426295	alignReads (6)	COMPLETED	0	2016-11-26 02:27:47.024	31s	34ms	0.0%	1.2 MB	11.1 MB	0	0	27.1 KB	242 B	61	4	31038	34	1294336	11624448	0	0	27725	242
31	40/ddfe57	13426296	alignReads (7)	COMPLETED	0	2016-11-26 02:27:47.105	31s	31ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	30981	31	1290240	11624448	0	0	0	0
32	9b/d7babe	13426298	alignReads (8)	COMPLETED	0	2016-11-26 02:27:47.215	30.9s	8ms	-	-	-	-	-	-	-	-	-	30895	8	-	-	-	-	-	-
37	69/245f54	13426435	ssake (5)	COMPLETED	0	2016-11-26 02:28:17.801	1h 39m 3s	1h 37m 47s	100.0%	818.8 MB	861.3 MB	818.8 MB	861.4 MB	107.7 MB	133.6 MB	24796	604023	5942797	5866533	858607616	903168000	858607616	903217152	112969886	140060142
41	f9/9514f3	13451205	alignContigs (1)	COMPLETED	0	2016-11-26 04:07:20.742	30.9s	37ms	0.0%	1.2 MB	11.1 MB	0	0	22.4 KB	226 B	47	3	30853	37	1294336	11624448	0	0	22912	226
