task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
4	78/d22c96	13652647	fastqToSsake (4)	COMPLETED	0	2016-11-26 17:32:35.316	1m 2s	16s	91.6%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	58.8 MB	7.9 MB	8603	16225	61719	16047	1754890240	35048304640	1755373568	35114360832	61703519	8239144
5	9b/643921	13652649	fastqToSsake (5)	COMPLETED	0	2016-11-26 17:32:35.370	1m 2s	16.1s	83.2%	1.2 GB	32.6 GB	1.2 GB	32.7 GB	53.1 MB	8.4 MB	7875	17383	61695	16132	1300299776	35048304640	1302396928	35114360832	55730458	8827700
2	e3/1ae37b	13652651	fastqToSsake (2)	COMPLETED	0	2016-11-26 17:32:35.427	1m 2s	17.9s	89.2%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	18.2 MB	9358	37558	61706	17925	1782382592	35048304640	1783885824	35114360832	67854231	19098662
6	5e/e0819d	13652652	fastqToSsake (6)	COMPLETED	0	2016-11-26 17:32:35.492	1m 2s	16.4s	91.9%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	61.9 MB	18.4 MB	8995	37875	61653	16414	1777086464	35048304640	1778294784	35114360832	64911631	19254110
3	88/98dae1	13652653	fastqToSsake (3)	COMPLETED	0	2016-11-26 17:32:35.556	1m 2s	15.8s	91.7%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	57.8 MB	9.1 MB	8476	18870	61651	15790	1751105536	35048669184	1751433216	35114360832	60653169	9589222
1	63/8bb788	13652654	fastqToSsake (1)	COMPLETED	0	2016-11-26 17:32:35.610	1m 2s	15.5s	84.7%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	54.9 MB	9.9 MB	8100	20496	61705	15544	1697538048	35048304640	1697538048	35048947712	57571789	10410396
8	dc/618e29	13652655	fastqToSsake (7)	COMPLETED	0	2016-11-26 17:32:35.699	1m 2s	14.9s	92.0%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.2 MB	10.4 MB	8005	21421	61687	14884	1692438528	35048304640	1692438528	35114360832	56796983	10887062
7	b8/f6a925	13652656	fastqToSsake (8)	COMPLETED	0	2016-11-26 17:32:35.765	1m 2s	17.6s	95.3%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	68.3 MB	20 MB	9817	41386	61697	17631	1810518016	35048304640	1811660800	35114360832	71650319	21019716
9	68/a26bc6	13652657	interleave (1)	COMPLETED	0	2016-11-26 17:32:35.838	1m 31s	27.6s	95.8%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	54.8 MB	51.6 MB	8168	106683	91203	27586	1395113984	35184627712	1395113984	35251761152	57440334	54087594
10	b1/dbd684	13652658	interleave (2)	COMPLETED	0	2016-11-26 17:32:35.902	1m 31s	30.7s	95.7%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	60.9 MB	53.5 MB	8950	110586	91154	30674	1455980544	35184627712	1455980544	35184992256	63849080	56073292
11	23/6dad5c	13652659	interleave (3)	COMPLETED	0	2016-11-26 17:32:35.968	1m 31s	22.7s	96.6%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.1 MB	53.2 MB	8463	109973	91101	22652	1431384064	35184627712	1431384064	35251761152	59860867	55781508
12	7c/ec7512	13652660	interleave (4)	COMPLETED	0	2016-11-26 17:32:36.027	1m 31s	22.9s	96.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.7 MB	53.2 MB	8538	110091	91192	22937	1440858112	35184627712	1440858112	35251761152	60473077	55814604
15	6d/02ee45	13652661	interleave (7)	COMPLETED	0	2016-11-26 17:32:36.093	1m 31s	21s	102.0%	1 GB	32.8 GB	1.1 GB	32.8 GB	48.7 MB	39.5 MB	7389	81758	91140	21006	1125695488	35184627712	1127792640	35251761152	51058798	41445852
14	12/da39f7	13652662	interleave (6)	COMPLETED	0	2016-11-26 17:32:36.156	1m 31s	23.5s	94.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	59.8 MB	55 MB	8816	113757	91223	23454	1438879744	35184627712	1438879744	35251761152	62748099	57676032
13	95/751c3b	13652663	interleave (5)	COMPLETED	0	2016-11-26 17:32:36.221	1m 31s	21s	94.2%	1 GB	32.8 GB	1 GB	32.8 GB	47.8 MB	38.6 MB	7273	79869	91224	20961	1073995776	35184627712	1078190080	35184992256	50107337	40493160
16	89/861e58	13652664	interleave (8)	COMPLETED	0	2016-11-26 17:32:36.297	1m 31s	26.7s	97.0%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	62.1 MB	52.1 MB	9103	107711	91232	26658	1490907136	35184627712	1490907136	35251761152	65101837	54620702
17	cf/dd0ff4	13652918	reformat (1)	COMPLETED	0	2016-11-26 17:33:37.122	1m 1s	10.3s	81.7%	3.1 MB	27.9 MB	3.1 MB	28 MB	158.1 MB	154.2 MB	23457	19647	60920	10267	3239936	29298688	3239936	29347840	165817909	161677312
18	77/4899e9	13652919	reformat (2)	COMPLETED	0	2016-11-26 17:33:37.196	1m 1s	10.1s	81.6%	3.1 MB	27.9 MB	3.1 MB	28 MB	139.9 MB	136.4 MB	20620	17308	60859	10055	3235840	29298688	3235840	29347840	146656821	143015936
19	c8/9ff112	13652920	reformat (3)	COMPLETED	0	2016-11-26 17:33:37.249	1m 1s	15.7s	114.0%	3.1 MB	27.9 MB	3.1 MB	28 MB	198.1 MB	194 MB	29177	24552	60886	15685	3239936	29298688	3239936	29347840	207740469	203456512
25	2b/d731cb	13653050	alignReads (1)	COMPLETED	0	2016-11-26 17:34:07.139	31.1s	459ms	20.0%	29.9 MB	55.2 MB	34.3 MB	55.2 MB	63.7 KB	279 B	77	5	31082	459	31309824	57905152	35983360	57929728	65244	279
26	b3/4c8ab2	13653053	alignReads (2)	COMPLETED	0	2016-11-26 17:34:07.203	31.1s	466ms	0.0%	30.1 MB	55.2 MB	34.1 MB	55.2 MB	63.7 KB	279 B	77	5	31123	466	31584256	57905152	35778560	57929728	65244	279
27	e5/1f5224	13653055	alignReads (3)	COMPLETED	0	2016-11-26 17:34:07.311	31s	418ms	22.0%	33.3 MB	55.2 MB	1.3 MB	11.1 MB	63.7 KB	279 B	77	5	31039	418	34967552	57905152	1323008	11644928	65244	279
28	30/ecf6ad	13653056	alignReads (4)	COMPLETED	0	2016-11-26 17:34:07.368	31s	442ms	21.0%	30.8 MB	55.2 MB	34.8 MB	55.8 MB	63.7 KB	279 B	77	5	31004	442	32329728	57905152	36528128	58458112	65244	279
29	68/a0e857	13653057	alignReads (5)	COMPLETED	0	2016-11-26 17:34:07.430	31s	355ms	0.0%	1.2 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	30964	355	1294336	11620352	1323008	11644928	27781	242
20	e2/faeccb	13652921	reformat (4)	COMPLETED	0	2016-11-26 17:33:37.305	1m 31s	13.3s	91.3%	3.1 MB	27.9 MB	3.1 MB	28 MB	232.1 MB	227.1 MB	34356	28860	90745	13294	3231744	29298688	3231744	29347840	243346997	238174208
21	f7/39cf27	13652922	reformat (5)	COMPLETED	0	2016-11-26 17:33:37.372	1m 31s	13.2s	91.5%	3.1 MB	27.9 MB	3.1 MB	28 MB	224.1 MB	219.5 MB	33258	27920	90692	13192	3235840	29298688	3235840	29347840	235036213	230195200
22	c4/0257fe	13652923	reformat (6)	COMPLETED	0	2016-11-26 17:33:37.447	1m 31s	10.6s	81.5%	3.1 MB	27.9 MB	3.1 MB	28 MB	137.1 MB	133.6 MB	20195	16949	90631	10596	3248128	29298688	3248128	29347840	143711797	140050432
23	3f/37a6bb	13652924	reformat (7)	COMPLETED	0	2016-11-26 17:33:37.559	1m 31s	10.2s	81.6%	3.1 MB	27.9 MB	3.1 MB	28 MB	141.6 MB	138.1 MB	20899	17533	90733	10198	3235840	29298688	3235840	29347840	148430389	144769024
24	56/74de88	13652925	reformat (8)	COMPLETED	0	2016-11-26 17:33:37.630	1m 31s	13.3s	92.0%	3.1 MB	27.9 MB	3.1 MB	28 MB	253.5 MB	248.2 MB	37353	31438	90739	13260	3248128	29298688	3248128	29347840	265772597	260292608
30	df/fbde1e	13653058	alignReads (6)	COMPLETED	0	2016-11-26 17:34:07.510	1m 32s	360ms	0.0%	1.2 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	91543	360	1294336	11620352	1323008	11644928	27781	242
31	bc/68dc0a	13653059	alignReads (7)	COMPLETED	0	2016-11-26 17:34:07.631	1m 31s	356ms	0.0%	1.2 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	91437	356	1294336	11620352	1323008	11644928	27781	242
32	d7/7c9d48	13653060	alignReads (8)	COMPLETED	0	2016-11-26 17:34:07.695	1m 31s	357ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	91388	357	1318912	11620352	1318912	11644928	27781	242
34	00/7b958d	13653188	ssake (2)	COMPLETED	0	2016-11-26 17:34:38.196	1h 42m 3s	1h 41m 23s	98.9%	837.8 MB	880.3 MB	837.8 MB	880.3 MB	106.9 MB	131.3 MB	24594	582936	6122776	6082942	878530560	923045888	878530560	923095040	112112268	137675303
38	fc/7d59ce	13653320	ssake (6)	COMPLETED	0	2016-11-26 17:35:08.353	1h 45m 3s	1h 44m 13s	98.9%	842.8 MB	885.3 MB	846.8 MB	889.4 MB	111.5 MB	133.8 MB	25633	600806	6302774	6253012	883769344	928325632	887967744	932573184	116966401	140258432
41	93/813c6b	13679139	alignContigs (1)	COMPLETED	0	2016-11-26 19:16:41.050	3m 31s	330ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	27.2 KB	242 B	61	4	210942	330	1323008	11620352	1323008	11644928	27839	242
39	0a/b245e6	13653321	ssake (7)	COMPLETED	0	2016-11-26 17:35:08.409	1h 46m 3s	1h 44m 45s	103.0%	817.5 MB	861.3 MB	817.5 MB	861.4 MB	107.7 MB	133.6 MB	24797	604023	6362598	6285401	857231360	903163904	857231360	903213056	112956048	140060142
42	2d/e92033	13680030	alignContigs (2)	COMPLETED	0	2016-11-26 19:20:11.225	1m 31s	399ms	19.0%	29.1 MB	59.5 MB	32.8 MB	55.2 MB	63.8 KB	279 B	77	5	90782	399	30547968	62353408	34418688	57929728	65302	279
43	21/592144	13680281	alignContigs (3)	COMPLETED	0	2016-11-26 19:21:11.082	30.9s	387ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	8.3 KB	0	15	0	30947	387	1323008	11620352	1323008	11644928	8459	0
37	6c/7500a1	13653319	ssake (5)	COMPLETED	0	2016-11-26 17:35:08.277	1h 53m 3s	1h 52m 28s	98.9%	792.2 MB	832.9 MB	792.5 MB	833.2 MB	111.3 MB	142.3 MB	25656	659683	6782805	6747749	830693376	873398272	831012864	873693184	116750836	149239633
