task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	50/303b66	14384431	formatChr (8)	COMPLETED	0	2016-11-29 16:41:05.584	30.1s	8.8s	65.1%	250.1 MB	263.5 MB	250.1 MB	263.5 MB	741.6 MB	741.6 MB	95159	189870	30135	8812	262287360	276262912	262287360	276279296	777659698	777645249
9	61/a53d5b	14384432	formatBlast (9)	COMPLETED	0	2016-11-29 16:41:05.766	1m 1s	36.7s	96.6%	288.8 MB	473.5 MB	457.9 MB	608.7 MB	989.3 MB	226.4 MB	31703	70	61074	36727	302854144	496472064	480178176	638255104	1037372240	237379413
7	c0/dee1d2	14384435	formatBlast (7)	COMPLETED	0	2016-11-29 16:41:05.985	1m 31s	31.4s	99.4%	91.2 MB	160.5 MB	118.1 MB	187.5 MB	964.8 MB	237.6 MB	30918	412	90710	31381	95600640	168247296	123830272	196612096	1011649330	249092424
14	63/b99145	14384424	formatChr (5)	COMPLETED	0	2016-11-29 16:41:05.077	1m 33s	43.1s	73.5%	331.5 MB	344.7 MB	332.8 MB	346 MB	2.1 GB	1 GB	391027	278980	92605	43094	347553792	361398272	348942336	362815488	2233965378	1080585880
8	38/d7be56	14384433	formatBlast (8)	COMPLETED	0	2016-11-29 16:41:05.840	2m 2s	58.4s	99.0%	63.5 MB	113 MB	64.3 MB	115.4 MB	2 GB	515.3 MB	67173	4880	121847	58436	66613248	118472704	67473408	120971264	2199653198	540331364
3	85/6f5499	14384434	formatBlast (2)	COMPLETED	0	2016-11-29 16:41:05.911	2m 2s	47.8s	98.6%	600.1 MB	649.6 MB	815.4 MB	865.2 MB	1.7 GB	419.1 MB	54730	6571	121792	47804	629211136	681201664	854982656	907194368	1791920972	439427546
2	fa/be0f9a	14384436	formatBlast (4)	COMPLETED	0	2016-11-29 16:41:06.071	2m 2s	29.6s	101.0%	82.5 MB	142.5 MB	93.3 MB	153.3 MB	971.8 MB	235 MB	31141	3046	121655	29629	86462464	149409792	97812480	160776192	1018956622	246396253
1	e4/12a3b2	14384437	formatBlast (1)	COMPLETED	0	2016-11-29 16:41:06.141	2m 2s	32.1s	95.9%	30.3 MB	79.5 MB	34.9 MB	84.4 MB	1 GB	269.6 MB	34053	5187	121672	32108	31768576	83406848	36589568	88514560	1114377040	282674264
6	1c/f1ff17	14384438	formatBlast (6)	COMPLETED	0	2016-11-29 16:41:06.235	2m 2s	31.5s	98.5%	371.7 MB	478.4 MB	558.9 MB	665.9 MB	927.3 MB	215.8 MB	29717	62	121733	31510	389771264	501612544	586055680	698236928	972294978	226244808
20	f6/6d851f	14384712	blast (2)	COMPLETED	0	2016-11-29 16:42:36.787	31.3s	2.7s	27.0%	134.9 MB	353.2 MB	139.8 MB	353.2 MB	33.4 KB	0	34	0	31271	2724	141451264	370319360	146546688	370335744	34153	0
15	29/c5a25a	14384430	formatChr (6)	COMPLETED	0	2016-11-29 16:41:05.515	2m 32s	59.7s	62.8%	245.2 MB	258.4 MB	245.2 MB	258.4 MB	2.2 GB	1017.7 MB	778093	302267	152194	59716	257114112	270954496	257114112	270983168	2359901527	1067120890
19	b9/23e298	14384613	blast (1)	COMPLETED	0	2016-11-29 16:42:06.968	1m 31s	2.8s	31.0%	140.7 MB	380.7 MB	147.6 MB	380.7 MB	33.4 KB	0	34	0	90778	2767	147509248	399220736	154759168	399237120	34153	0
