task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
18	9c/c2a1e1	14387826	formatChr (9)	COMPLETED	0	2016-11-29 16:55:59.216	30.3s	10s	51.8%	233.4 MB	246.6 MB	236.1 MB	249.3 MB	695.6 MB	695.6 MB	89258	178093	30298	9994	244768768	258609152	247533568	261398528	729425010	729413819
5	ee/66e8fb	14387828	formatBlast (6)	COMPLETED	0	2016-11-29 16:55:59.370	1m 1s	31.4s	94.3%	340.3 MB	443.6 MB	562.3 MB	665.9 MB	911.1 MB	206.5 MB	29200	60	61092	31357	356876288	465162240	589606912	698224640	955351646	216522200
8	89/e2ee26	14387831	formatBlast (8)	COMPLETED	0	2016-11-29 16:55:59.578	1m 1s	30.3s	96.3%	89.2 MB	160.4 MB	116.1 MB	187.5 MB	1 GB	264.3 MB	34157	1806	60909	30257	93560832	168239104	121782272	196603904	1117782606	277168936
6	f4/7df1c3	14387832	formatBlast (4)	COMPLETED	0	2016-11-29 16:55:59.653	1m 31s	32s	91.7%	82.1 MB	142 MB	95.1 MB	155.2 MB	967.6 MB	235 MB	31008	3046	91134	32047	86110208	148897792	99680256	162693120	1014596202	246396253
1	56/7c65c7	14387834	formatBlast (1)	COMPLETED	0	2016-11-29 16:55:59.845	1m 31s	31.8s	96.4%	21.8 MB	69 MB	24.3 MB	71.5 MB	909.9 MB	232.4 MB	29163	5099	90979	31804	22900736	72314880	25522176	74977280	954139244	243682557
15	87/54a137	14387824	formatChr (6)	COMPLETED	0	2016-11-29 16:55:59.057	1m 32s	30.4s	68.0%	222.3 MB	235.5 MB	224.3 MB	237.5 MB	2.1 GB	1 GB	326950	275694	92413	30371	233074688	246915072	235216896	249081856	2203766804	1080459366
4	38/c3828f	14387820	formatBlast (2)	COMPLETED	0	2016-11-29 16:55:58.763	2m 2s	1m 12s	94.1%	622.9 MB	670.2 MB	817.7 MB	865.2 MB	1.6 GB	393.6 MB	51258	6534	121704	71729	653197312	702750720	857415680	907186176	1678148256	412718100
9	0a/74a8fd	14387835	formatBlast (9)	COMPLETED	0	2016-11-29 16:55:59.944	2m 2s	34.2s	96.8%	326.9 MB	463.5 MB	532.4 MB	681.9 MB	1.1 GB	226.4 MB	37078	71	121531	34244	342818816	486031360	558219264	714977280	1213497964	237383687
21	79/a66fd4	14388104	blast (3)	COMPLETED	0	2016-11-29 16:57:30.946	30.6s	2.9s	23.0%	136.1 MB	352.5 MB	138.1 MB	352.5 MB	33.4 KB	0	34	0	30554	2851	142692352	369655808	144830464	369672192	34209	0
11	a7/c359e2	14387821	formatChr (2)	COMPLETED	0	2016-11-29 16:55:58.837	2m 33s	32.5s	73.0%	469 MB	482.2 MB	471.3 MB	484.5 MB	2.9 GB	1.7 GB	457785	460074	152635	32528	491769856	505602048	494157824	508018688	3062593044	1829983318
19	64/861324	14388002	blast (1)	COMPLETED	0	2016-11-29 16:57:00.621	1m 31s	4.8s	24.0%	147.6 MB	340.3 MB	150.7 MB	340.4 MB	33.4 KB	0	34	0	90948	4813	154783744	356876288	157986816	356892672	34209	0
20	66/ed1aa1	14388003	blast (2)	COMPLETED	0	2016-11-29 16:57:00.706	1m 31s	3.7s	0.0%	1.6 MB	62.8 MB	1.6 MB	62.8 MB	17.4 KB	0	31	0	90886	3749	1654784	65826816	1654784	65843200	17822	0
23	2b/df850e	14388204	blast (5)	COMPLETED	0	2016-11-29 16:58:01.039	30.6s	4.7s	11.0%	57.9 MB	515.3 MB	60.1 MB	515.4 MB	33.4 KB	0	34	0	30570	4706	60690432	540372992	63049728	540389376	34209	0
24	54/257432	14388205	blast (6)	COMPLETED	0	2016-11-29 16:58:01.558	30.1s	3.6s	10.0%	53.5 MB	380.7 MB	55.4 MB	380.7 MB	33.4 KB	0	34	0	30069	3573	56057856	399216640	58142720	399233024	34209	0
22	20/e6211a	14388107	blast (4)	COMPLETED	0	2016-11-29 16:57:31.066	1m 1s	2.9s	23.0%	220.3 MB	352.2 MB	225.6 MB	352.2 MB	33.4 KB	0	34	0	61407	2930	230952960	369324032	236544000	369340416	34209	0
2	d0/735190	14387833	formatBlast (3)	COMPLETED	0	2016-11-29 16:55:59.766	3m 2s	1m 15s	98.3%	85.5 MB	135.8 MB	107.2 MB	157.4 MB	2.4 GB	618.2 MB	78851	7821	181712	75394	89645056	142446592	112357376	165064704	2582315652	648183802
3	6a/3f3e0d	14387836	formatBlast (5)	COMPLETED	0	2016-11-29 16:56:00.034	3m 1s	36.3s	96.5%	530.3 MB	643.3 MB	530.3 MB	643.3 MB	939.2 MB	219.3 MB	30098	61	181466	36304	556032000	674537472	556032000	674553856	984777304	229957411
7	1e/ae80c5	14387837	formatBlast (7)	COMPLETED	0	2016-11-29 16:56:00.113	3m 1s	58.4s	98.1%	75.8 MB	123.2 MB	75.8 MB	124.6 MB	2.1 GB	521.7 MB	68290	4884	181402	58370	79519744	129191936	79519744	130662400	2236252778	547064711
27	7a/5c55a3	14388210	exonerate (3)	COMPLETED	0	2016-11-29 16:58:31.740	30.7s	8.2s	68.2%	694.4 MB	732.8 MB	694.4 MB	732.8 MB	354.3 MB	420.4 KB	90771	123	30746	8227	728104960	768360448	728104960	768376832	371501836	430520
32	1e/15c0c3	-	normExonerate (1)	COMPLETED	-	2016-11-29 16:59:02.531	6ms	1ms	-	-	-	-	-	-	-	-	-	6	1	-	-	-	-	-	-
14	92/863389	14387823	formatChr (5)	COMPLETED	0	2016-11-29 16:55:58.977	3m 34s	53.5s	70.6%	200.1 MB	213.3 MB	202.1 MB	215.4 MB	2.2 GB	1017.6 MB	745349	300587	213636	53468	209817600	223653888	211968000	225828864	2347045235	1067044450
10	3c/09a2f9	14387829	formatChr (1)	COMPLETED	0	2016-11-29 16:55:59.449	3m 33s	1m 17s	79.7%	340.7 MB	353.9 MB	344 MB	357.2 MB	1.4 GB	1.1 GB	953764	337098	213189	76794	357285888	371130368	360710144	374579200	1462316675	1138794878
17	ae/130fee	14387830	formatChr (8)	COMPLETED	0	2016-11-29 16:55:59.516	3m 33s	1m 27s	66.5%	685.8 MB	699 MB	687.8 MB	701.1 MB	2.4 GB	2.1 GB	1003340	599737	213139	86756	719114240	732958720	721256448	735125504	2618526707	2242253348
28	6e/6fe9eb	14388211	exonerate (4)	COMPLETED	0	2016-11-29 16:58:31.798	1m 1s	33.5s	75.2%	605.6 MB	667.4 MB	606.1 MB	668.1 MB	955.5 MB	6.1 MB	244957	1812	60880	33458	635031552	699826176	635572224	700530688	1001954402	6420119
34	89/9f4794	-	normExonerate (2)	COMPLETED	-	2016-11-29 16:59:32.765	17ms	1ms	-	-	-	-	-	-	-	-	-	17	1	-	-	-	-	-	-
29	4c/f26bf9	14388424	blast (7)	COMPLETED	0	2016-11-29 16:59:01.588	31.2s	6.4s	69.8%	507.4 MB	789.6 MB	650.5 MB	789.6 MB	191.8 KB	0	55	0	31186	6377	532099072	827965440	682131456	827981824	196439	0
30	84/047955	14388425	blast (8)	COMPLETED	0	2016-11-29 16:59:01.667	31.1s	5.9s	84.5%	160.3 MB	445.1 MB	455 MB	581 MB	192.8 KB	614.8 KB	56	160	31132	5885	168095744	466702336	477073408	609198080	197463	629603
31	e4/c9cc37	14388426	blast (9)	COMPLETED	0	2016-11-29 16:59:01.733	31.1s	6.5s	72.6%	496.3 MB	742.3 MB	542.3 MB	742.3 MB	191.8 KB	0	55	0	31091	6547	520388608	778366976	568688640	778383360	196439	0
